step time temp press pe ke etotal
0 0 300.00000000000051159 2067.3605138293901291 -7493.6447998565572561 66.969681124500112901 -7426.6751187320569443
100 0.10000000000000000555 149.79544644080021953 2083.8529731881731095 -7456.8555135556343885 33.439177606808364374 -7423.4163359488256901
200 0.2000000000000000111 135.37923292913194473 2122.2168164661220544 -7450.4372483940196616 30.221013533811255769 -7420.216234860208715
300 0.2999999999999999889 176.07355775655679508 2052.4482895470018775 -7456.5448871680919183 39.305300058042810463 -7417.2395871100488876
400 0.4000000000000000222 187.46608498060049897 2073.3737804006409533 -7456.2968321471198578 41.848479776030785615 -7414.4483523710887312
500 0.5 172.02914372293534484 2136.0716837046284127 -7450.2271248050610666 38.402456330819205732 -7411.8246684742416619
600 0.5999999999999999778 180.53376359007344831 2236.674407382971367 -7449.5286878579972836 40.300961932776957042 -7409.2277259252205113
700 0.70000000000000006661 180.52701847583324479 2348.72085564641975 -7447.0808061451789399 40.29945620561090891 -7406.7813499395679173
800 0.80000000000000004441 195.26365723219194592 2328.0949324392299786 -7448.0531766170452102 43.589149533478547482 -7404.464027083567089
900 0.9000000000000000222 206.73812237465665476 2446.315027259517592 -7448.4226492233965473 46.150620439028720909 -7402.2720287843676488
1000 1 210.72547506344042745 2572.5586582268479106 -7447.2114328781708537 47.040726232691277175 -7400.1707066454791857
1100 1.1000000000000000888 214.93893491047816724 2623.6199751946132892 -7446.2154531586711528 47.981306440647948364 -7398.234146718023112
1200 1.1999999999999999556 216.5526476457915237 2664.6141920049567489 -7444.666713982109286 48.341539198349551043 -7396.3251747837593939
1300 1.3000000000000000444 227.46991345140119734 2689.8774665942523825 -7445.2749623128902385 50.778625230859844919 -7394.4963370820305499
1400 1.4000000000000001332 244.73508588996668323 3000.9519961549362961 -7447.4228841138719872 54.632768873427295375 -7392.7901152404447203
1500 1.5 234.9384539308703097 2910.171688853278738 -7443.5862430451388718 52.445844478778063547 -7391.1403985663610001
1600 1.6000000000000000888 229.60454675757668497 2860.4378786090637732 -7440.8455039388045407 51.255144270300874609 -7389.5903596685038792
1700 1.6999999999999999556 242.50181302742083744 2809.8137521112739705 -7442.216587074650306 54.134230301864981527 -7388.0823567727857153
1800 1.8000000000000000444 242.79826324832981754 2894.6463738984434713 -7440.8698288080868224 54.200407557743524478 -7386.6694212503434755
1900 1.9000000000000001332 236.49464680212921053 2974.1801778343451588 -7438.1869428432055429 52.793236946632823958 -7385.3937058965730102
2000 2 252.93684320675964727 2891.9679998086053274 -7440.5672724408141221 56.463665780647829706 -7384.1036066601664061
2100 2.1000000000000000888 241.03338653942560654 2881.4481471703720672 -7436.7212910860880584 53.806430123012283673 -7382.9148609630756255
2200 2.2000000000000001776 241.03299052227856691 2907.3544275864933297 -7435.5483639417407176 53.80634171920542741 -7381.7420222225355246
2300 2.3000000000000002665 274.42515874042749147 3075.6900123097493633 -7441.8802575958343368 61.260551244622412526 -7380.6197063512117893
2400 2.3999999999999999112 240.4540310576237232 3032.8717864213599569 -7433.2746393160796288 53.677099283432269772 -7379.5975400326469753
2500 2.5 237.5566838636718785 3144.6312602291181975 -7431.6441653093588684 53.030317891145870135 -7378.6138474182125719
2600 2.6000000000000000888 277.71443464928859157 3160.10516133117153 -7439.6729937583095307 61.994823773778840348 -7377.6781699845305411
