step time temp press pe ke etotal
0 0 300.00000000000051159 2067.3605138293901291 -7493.6447998565572561 66.969681124500112901 -7426.6751187320569443
100 0.10000000000000000555 158.65441743642537631 2135.5758003932992324 -7456.0557585555416154 35.41678581570240425 -7420.6389727398391187
200 0.2000000000000000111 154.9787381564433133 2247.3223352616578268 -7449.2319572031829011 34.596255584714633358 -7414.6357016184683744
300 0.2999999999999999889 193.29118532223603211 2276.2024084939334898 -7452.9215181032895998 43.148830150689278184 -7409.7726879525998811
400 0.4000000000000000222 200.42386346103910455 2338.5698479227394273 -7450.2622376864646867 44.741074085753723466 -7405.521163600710679
500 0.5 199.23887543787301979 2442.417272299994238 -7445.2224978887015823 44.476546518927776219 -7400.7459513697740476
600 0.5999999999999999778 213.45920894719674266 2585.8006437712519983 -7443.7181827789254385 47.65098385427261718 -7396.0671989246529847
700 0.70000000000000006661 224.46881062982319577 2700.0808465504223932 -7442.4226499501382932 50.10868223425012502 -7392.313967715887884
800 0.80000000000000004441 228.28089402969479238 2759.8441982620479394 -7440.8746261391288499 50.959662266614792259 -7389.9149638725139084
900 0.9000000000000000222 240.86585025661915438 2857.0895415340610271 -7441.8916442082763751 53.769030618224505247 -7388.1226135900515146
1000 1 245.49217860711658545 2964.4429635164815409 -7440.2233345119411752 54.801776399591332734 -7385.4215581123498851
1100 1.1000000000000000888 253.02635424840573819 3020.2069648788610721 -7438.477160687549258 56.483647533701699217 -7381.9935131538477435
1200 1.1999999999999999556 252.04348125856449769 3057.3370598199326196 -7436.0515212126847473 56.264238564649858176 -7379.787282648035216
1300 1.3000000000000000444 264.62131314834311979 3159.7145087219823836 -7435.7376956307916771 59.072016534303330104 -7376.6656790964880201
1400 1.4000000000000001332 267.6787051359092402 3170.1431146086961235 -7435.3496879609692769 59.754525089236345536 -7375.5951628717330095
1500 1.5 269.87100273341269485 3206.1738559421132777 -7434.029316979163923 60.243916659352393594 -7373.7854003198117425
1600 1.6000000000000000888 270.4720563157035258 3264.3919407331122784 -7432.3815930301789194 60.378091215168240069 -7372.0035018150110773
1700 1.6999999999999999556 279.83779295150662847 3285.1449220798272108 -7432.3735360200007563 62.468825868487513731 -7369.9047101515134273
1800 1.8000000000000000444 277.7590840300332502 3310.6678989894212464 -7430.2906422725154698 62.004790956415092751 -7368.2858513160999792
1900 1.9000000000000001332 274.87272501644878275 3367.4499644250909114 -7429.9660939236973718 61.360462480579833766 -7368.6056314431170904
2000 2 283.25007288937280236 3384.0528538052403746 -7430.8009009785964736 63.230556866308937458 -7367.5703441122877848
2100 2.1000000000000000888 282.18117681930101526 3390.5150497352533421 -7430.0531688732990006 62.991944769749139255 -7367.0612241035496481
2200 2.2000000000000001776 288.80899149588310593 3487.8976431604619393 -7429.1205204425941702 64.471486887892410778 -7364.6490335547014183
2300 2.3000000000000002665 286.31683657926720343 3492.889601051727368 -7428.4378108469854851 63.915157487630345656 -7364.5226533593549902
2400 2.3999999999999999112 282.69784485453817524 3408.5740703630499411 -7427.2511985765795544 63.107281748305986468 -7364.1439168282731771
2500 2.5 288.71226161863688731 3500.7922112108722104 -7428.2939049807346237 64.449893657777778344 -7363.844011322957158
2600 2.6000000000000000888 280.60783471695901881 3415.4365101471503294 -7427.0728634321139907 62.640724040103826553 -7364.4321393920099581
2700 2.7000000000000001776 288.47456608248035081 3440.4450798601824317 -7428.1145191006253299 64.396832343574047286 -7363.7176867570515242
2800 2.8000000000000002665 290.31108580283029141 3567.0526971594399583 -7427.0564194279522781 64.806802810409678273 -7362.249616617542415
2900 2.8999999999999999112 290.4398210592024725 3499.4115285678126384 -7427.8953622537328556 64.835540673972104742 -7363.0598215797608646
3000 3 283.32951873677819776 3447.5313861019335491 -7427.1529088251882058 63.248291743200283577 -7363.9046170819883628
3100 3.1000000000000000888 295.35333090223724639 3439.7179427075266176 -7428.784081642658748 65.932394631939203578 -7362.8516870107196155
3200 3.2000000000000001776 296.05425943747985684 3518.9183504292250291 -7428.8008006729041881 66.088864500260072532 -7362.7119361726445277
3300 3.3000000000000002665 294.26008941813245201 3595.0070310676346708 -7425.8534496343063438 65.688347853330625981 -7360.1651017809754194
3400 3.3999999999999999112 294.12274910128047622 3600.9194268402270609 -7426.259721254707074 65.657689062580246286 -7360.6020321921268987
